$Date;$Time;P21P303A_IFASE_A;P21P303A_VOLT_AB;P21P303B_IFASE_A;P21P303B_VOLT_AB;P21P303C_IFASE_A;P21P303C_VOLT_AB
11/04/2023;2:58:33;0;0;0;0;0;0
11/04/2023;3:18:43;0;0;0;0;0;0
11/04/2023;3:38:52;0;0;0;0;0;0
11/04/2023;3:59:02;0;0;0;0;0;0
11/04/2023;4:19:12;0;0;0;0;0;0
11/04/2023;4:39:21;0;0;0;0;0;0
11/04/2023;4:59:31;0;0;0;0;0;0
11/04/2023;5:19:40;0;0;0;0;0;0
11/04/2023;5:39:50;0;0;0;0;0;0
11/04/2023;6:00:00;0;0;0;0;0;0
11/04/2023;6:20:09;0;0;0;0;0;0
11/04/2023;6:40:19;0;0;0;0;0;0
11/04/2023;7:00:28;0;0;0;0;0;0
11/04/2023;7:20:38;0;0;0;0;0;0
11/04/2023;7:40:48;0;0;0;0;0;0
11/04/2023;8:00:57;0;0;0;0;0;0
11/04/2023;8:21:07;0;0;0;0;0;0
11/04/2023;8:41:16;0;0;0;0;0;0
11/04/2023;9:01:26;0;0;0;0;0;0
11/04/2023;9:21:36;0;0;0;0;0;0
11/04/2023;9:41:45;0;0;0;0;0;0
11/04/2023;10:01:55;0;0;0;0;0;0
11/04/2023;10:22:04;0;0;0;0;0;0
11/04/2023;10:42:14;0;0;0;0;0;0
11/04/2023;11:02:24;0;0;0;0;0;0
11/04/2023;11:22:33;0;0;0;0;0;0
11/04/2023;11:42:43;0;0;0;0;0;0
11/04/2023;12:02:52;0;0;0;0;0;0
11/04/2023;12:23:02;0;0;0;0;0;0
11/04/2023;12:43:12;0;0;0;0;0;0
11/04/2023;13:03:21;0;0;0;0;0;0
11/04/2023;13:23:31;0;0;0;0;0;0
11/04/2023;13:43:40;0;0;0;0;0;0
11/04/2023;14:03:50;0;0;0;0;0;0
11/04/2023;14:24:00;0;0;0;0;0;0
11/04/2023;14:44:09;0;0;0;0;0;0
11/04/2023;15:04:19;0;0;0;0;0;0
11/04/2023;15:24:28;0;0;0;0;0;0
11/04/2023;15:44:38;0;0;0;0;0;0
11/04/2023;16:04:48;0;0;0;0;0;0
11/04/2023;16:24:57;0;0;0;0;0;0
11/04/2023;16:45:07;0;0;0;0;0;0
11/04/2023;17:05:16;0;0;0;0;0;0
11/04/2023;17:25:26;0;0;0;0;0;0
11/04/2023;17:45:36;0;0;0;0;0;0
11/04/2023;18:05:45;0;0;0;0;0;0
11/04/2023;18:25:55;0;0;0;0;0;0
11/04/2023;18:46:04;0;0;0;0;0;0
11/04/2023;19:06:14;0;0;0;0;0;0
11/04/2023;19:26:24;0;0;0;0;0;0
11/04/2023;19:46:33;0;0;0;0;0;0
11/04/2023;20:06:43;0;0;0;0;0;0
11/04/2023;20:26:52;0;0;0;0;0;0
11/04/2023;20:47:02;0;0;0;0;0;0
11/04/2023;21:07:12;0;0;0;0;0;0
11/04/2023;21:27:21;0;0;0;0;0;0
11/04/2023;21:47:31;0;0;0;0;0;0
11/04/2023;22:07:40;0;0;0;0;0;0
11/04/2023;22:27:50;0;0;0;0;0;0
11/04/2023;22:48:00;0;0;0;0;0;0
11/04/2023;23:08:09;0;0;0;0;0;0
11/04/2023;23:28:19;0;0;0;0;0;0
11/04/2023;23:48:28;0;0;0;0;0;0
11/05/2023;0:08:38;0;0;0;0;0;0
11/05/2023;0:28:48;0;0;0;0;0;0
11/05/2023;0:48:57;0;0;0;0;0;0
11/05/2023;1:09:07;0;0;0;0;0;0
11/05/2023;1:29:16;0;0;0;0;0;0
11/05/2023;1:49:26;0;0;0;0;0;0
11/05/2023;2:09:36;0;0;0;0;0;0
11/05/2023;2:29:45;0;0;0;0;0;0
11/05/2023;2:49:55;0;0;0;0;0;0
11/05/2023;3:10:04;0;0;0;0;0;0
11/05/2023;3:30:14;0;0;0;0;0;0
11/05/2023;3:50:24;0;0;0;0;0;0
11/05/2023;4:10:33;0;0;0;0;0;0
